Root Word,Number of Categories,Number of Occurrences,Score
Pecos,12,26,25.0
Rancho,12,16,64.0
Santa Fe,12,86,2.0
Pueblo,11,39,60.0
El Paso,10,48,40.0
Jemez,10,19,230.0
Laguna,10,63,25.0
New Mexico,10,66,20.0
Sandia,10,24,165.0
Taos,10,47,45.0
Bosque,9,16,704.0
Cottonwood,9,32,220.0
Nambe,9,12,1034.0
Navajo,9,37,187.0
Rio Grande,9,16,704.0
Coyote,8,44,176.0
Loma,8,37,272.0
Norte,8,10,2176.0
San Juan,8,25,448.0
San Miguel,8,19,736.0
Truchas,8,11,1872.0
Alamo,7,23,828.0
Alta,7,12,2162.0
Centro,7,23,828.0
Chavez,7,18,1196.0
Corrales,7,12,2162.0
Gallup,7,17,1380.0
Guadalupe,7,37,391.0
La Cueva,7,10,3128.0
Las Vegas,7,10,3128.0
Mimbres,7,12,2162.0
Mountainair,7,10,3128.0
Ojo Caliente,7,7,5198.0
Questa,7,13,2001.0
Rio Rancho,7,8,4278.0
San Mateo,7,11,2691.0
Santa Clara,7,12,2162.0
Socorro,7,11,2691.0
Valle,7,18,1196.0
Blanco,6,16,2624.0
Caprock,6,8,7626.0
Carrizozo,6,12,3854.0
Chama,6,6,11603.0
Clayton,6,9,6314.0
Cochiti,6,8,7626.0
Corona,6,11,4797.0
Duran,6,11,4797.0
Eagle Nest,6,10,5576.0
Espanola,6,10,5576.0
Estancia,6,15,3034.0
Flats,6,7,9266.0
Gila,6,6,11603.0
Glenwood,6,7,9266.0
Melrose,6,8,7626.0
Mescalero,6,9,6314.0
Mesilla,6,9,6314.0
Mesita,6,38,656.0
Montezuma,6,7,9266.0
Mora,6,7,9266.0
Pojoaque,6,16,2624.0
Roswell,6,30,943.0
San Francisco,6,10,5576.0
San Jose,6,26,1025.0
Santa Rosa,6,12,3854.0
Torreon,6,8,7626.0
Tucumcari,6,8,7626.0
Tularosa,6,11,4797.0
Turquoise,6,15,3034.0
Valencia,6,8,7626.0
de los,6,25,1148.0
Agua,5,18,3848.0
Amarilla,5,6,20942.0
Arroyo,5,12,6956.0
Artesia,5,10,10064.0
Aspen,5,12,6956.0
Baca,5,14,5772.0
Black Mesa,5,16,4736.0
Blanca,5,26,1850.0
Buena Vista,5,6,20942.0
Butte,5,67,222.0
Camino,5,6,20942.0
Capitan,5,13,6438.0
Capulin,5,13,6438.0
Carlsbad,5,8,13764.0
Cerro,5,187,74.0
Chimayo,5,9,11396.0
Cienega,5,20,3256.0
Conchas,5,5,25604.0
Coronado,5,6,20942.0
Crossroads,5,5,25604.0
Cuchillo,5,9,11396.0
Del Norte,5,5,25604.0
Dora,5,7,16724.0
Embudo,5,5,25604.0
Fort Sumner,5,7,16724.0
Glorieta,5,9,11396.0
Gonzales,5,10,10064.0
Hacienda,5,6,20942.0
Hobbs,5,12,6956.0
Holman,5,7,16724.0
Isleta,5,6,20942.0
Jicarilla,5,14,5772.0
Los Alamos,5,8,13764.0
Los Lunas,5,6,20942.0
Lucero,5,9,11396.0
Luna,5,12,6956.0
Madera,5,9,11396.0
Manzano,5,7,16724.0
Martinez,5,16,4736.0
Mountain View,5,9,11396.0
Nogal,5,5,25604.0
Ortiz,5,14,5772.0
Padre,5,8,13764.0
Pajarito,5,8,13764.0
Palo,5,9,11396.0
Palomas,5,6,20942.0
Pinos,5,8,13764.0
Placitas,5,7,16724.0
Red Rock,5,7,16724.0
Resource Center,5,9,11396.0
San Felipe,5,6,20942.0
San Pedro,5,9,11396.0
Santa Ana,5,7,16724.0
Santo,5,24,2442.0
Seco,5,14,5772.0
Tesuque,5,8,13764.0
Tierra,5,10,10064.0
United States,5,16,4736.0
White Rock,5,9,11396.0
Zuni,5,14,5772.0
de la,5,54,444.0
Alameda,4,4,57528.0
Altos,4,7,31866.0
Andres,4,4,57528.0
Angel Fire,4,5,48786.0
Aztec,4,7,31866.0
Bayard,4,4,57528.0
Bonita,4,9,21714.0
Borrego,4,9,21714.0
Bravo,4,4,57528.0
Cactus,4,9,21714.0
Cantina,4,15,10434.0
Casa de,4,9,21714.0
Ca̱oncito,4,4,57528.0
Cerritos,4,12,13254.0
Cimarron,4,6,39903.0
Clint,4,8,26226.0
Cloudcroft,4,6,39903.0
Cone,4,16,9024.0
Cooney,4,8,26226.0
Cornudas,4,4,57528.0
Corral,4,25,3948.0
Cristo,4,13,12267.0
Cubero,4,4,57528.0
Cuervo,4,7,31866.0
Domingo,4,6,39903.0
Downs,4,4,57528.0
Do̱a,4,4,57528.0
Eddy,4,6,39903.0
El Rito,4,7,31866.0
Espa̱ola,4,6,39903.0
Esperanza,4,8,26226.0
Gallinas,4,8,26226.0
High Rolls,4,4,57528.0
Historic Site,4,18,7332.0
Holt,4,5,48786.0
Hondo,4,11,16497.0
Hot Springs,4,14,10998.0
Hummingbird,4,5,48786.0
Ignacio,4,5,48786.0
Jemez Springs,4,4,57528.0
Jemez Valley,4,7,31866.0
Juniper,4,25,3948.0
La Jara,4,11,16497.0
Lamy,4,4,57528.0
Lobo,4,14,10998.0
Lomas,4,7,31866.0
